Experiment,Architecture,Memory Size,Wall,Final Record,Final Avg (100),Overall Avg,Std Dev,Block 1 Avg,Block 2 Avg,Block 3 Avg,Block 4 Avg,Block 5 Avg,Stability (Var),Max Perf Drop,Explore End Ep,Time (s)
A1_baseline,11→256→3,100000,False,71,32.19,26.27,N/A,4.21,33.14,30.90,30.90,32.19,157.17,4.70,75,N/A
B1_wide,11→512→3,100000,False,70,32.07,27.15,N/A,2.82,34.44,34.03,32.38,32.07,173.86,4.43,75,N/A
B2_deep_4hidden,11→256→256→128→64→3,100000,False,2,0.01,0.07,N/A,0.21,0.02,0.05,0.04,0.01,0.01,0.39,75,N/A
B3_deep_6hidden,11→256→256→256→128→128→64→3,100000,False,1,0.00,0.03,N/A,0.11,0.02,0.00,0.01,0.00,0.00,0.31,75,N/A
C1_small_memory,11→256→3,10000,False,70,33.17,27.51,N/A,4.46,33.06,32.69,34.15,33.17,141.51,1.97,75,N/A
C2_large_memory,11→256→3,500000,False,77,34.27,27.80,N/A,5.20,36.18,31.74,31.62,34.27,184.06,5.78,75,N/A
D_A1_wall_baseline,11→256→3,100000,True,40,3.23,1.92,N/A,0.04,0.62,2.31,3.38,3.23,40.86,1.10,75,N/A
D_B1_wall_wide,11→512→3,100000,True,42,4.71,3.87,N/A,0.32,3.03,6.32,4.99,4.71,41.15,2.07,75,N/A
D_B2_wall_deep_4hidden,11→256→256→128→64→3,100000,True,1,0.05,0.04,N/A,0.01,0.07,0.04,0.02,0.05,0.02,0.06,75,N/A
D_B3_wall_deep_6hidden,11→256→256→256→128→128→64→3,100000,True,1,0.01,0.01,N/A,0.00,0.00,0.01,0.02,0.01,0.01,0.02,75,N/A
D_C1_wall_small_memory,11→256→3,10000,True,25,2.43,1.66,N/A,0.35,1.44,1.81,2.28,2.43,13.32,0.59,75,N/A
D_C2_wall_large_memory,11→256→3,500000,True,29,3.15,1.30,N/A,0.11,0.22,0.82,2.19,3.15,23.17,0.57,75,N/A
